20.02.2015;11:00:00;T704                          ;7018825;1;1
20.02.2015;11:00:00;T704                          ;7031254;1;1
20.02.2015;11:00:00;T704                          ;7042507;1;1
20.02.2015;11:00:00;T704                          ;460745;2;2
20.02.2015;11:00:00;T704                          ;541408;1;1
20.02.2015;11:00:00;T704                          ;625995;1;1
20.02.2015;11:00:00;T704                          ;689965;1;1
20.02.2015;11:00:00;T704                          ;722968;1;1
20.02.2015;11:00:00;T704                          ;755582;1;1
20.02.2015;11:00:00;T704                          ;789985;3;0
20.02.2015;11:00:00;T704                          ;7051679;1;1
20.02.2015;11:00:00;T704                          ;7062787;1;1
20.02.2015;11:00:00;T704                          ;402363;1;1
20.02.2015;11:00:00;T704                          ;402604;1;1
20.02.2015;11:00:00;T704                          ;696449;2;2
20.02.2015;11:00:00;T704                          ;696462;1;1
20.02.2015;11:00:00;T704                          ;696660;2;2
25.02.2015;7:30:00;T704                          ;7018827;1;1
25.02.2015;7:30:00;T704                          ;7031326;1;1
25.02.2015;7:30:00;T704                          ;7063537;1;1
25.02.2015;7:30:00;T704                          ;402337;1;1
25.02.2015;7:30:00;T704                          ;402308;2;2
25.02.2015;7:30:00;T704                          ;402475;1;1
25.02.2015;7:30:00;T704                          ;402498;2;2
25.02.2015;7:30:00;T704                          ;409111;2;2
25.02.2015;7:30:00;T704                          ;409115;2;2
25.02.2015;7:30:00;T704                          ;778835;1;1
25.02.2015;7:30:00;T704                          ;778837;1;1
25.02.2015;7:30:00;T704                          ;789985;1;0
25.02.2015;7:30:00;T704                          ;402309;1;1
25.02.2015;7:30:00;T704                          ;423029;1;1
25.02.2015;7:30:00;T704                          ;662143;1;1
25.02.2015;7:30:00;T704                          ;737341;1;1
25.02.2015;7:30:00;T704                          ;770164;1;1
25.02.2015;7:30:00;T704                          ;788716;1;1
25.02.2015;7:30:00;T704                          ;7003325;1;1
25.02.2015;7:30:00;T704                          ;7038735;1;1
25.02.2015;7:30:00;T704                          ;7044482;1;1
25.02.2015;7:30:00;T704                          ;7055383;1;1
27.02.2015;11:00:00;T704                          ;402411;1;1
27.02.2015;11:00:00;T704                          ;405992;1;1
27.02.2015;11:00:00;T704                          ;406640;1;1
27.02.2015;11:00:00;T704                          ;406675;1;1
27.02.2015;11:00:00;T704                          ;406679;1;1
27.02.2015;11:00:00;T704                          ;439718;1;1
27.02.2015;11:00:00;T704                          ;655693;1;1
27.02.2015;11:00:00;T704                          ;662143;1;1
27.02.2015;11:00:00;T704                          ;667049;1;1
27.02.2015;11:00:00;T704                          ;685351;1;1
27.02.2015;11:00:00;T704                          ;685352;1;0
27.02.2015;11:00:00;T704                          ;696564;1;1
27.02.2015;11:00:00;T704                          ;770163;1;1
27.02.2015;11:00:00;T704                          ;770167;1;1
27.02.2015;11:00:00;T704                          ;778836;1;1
27.02.2015;11:00:00;T704                          ;788716;1;1
27.02.2015;11:00:00;T704                          ;7011607;1;1
27.02.2015;11:00:00;T704                          ;7042508;1;1
27.02.2015;11:00:00;T704                          ;7043120;1;1
27.02.2015;11:00:00;T704                          ;7051449;1;1
27.02.2015;11:00:00;T704                          ;7055857;1;1
27.02.2015;11:00:00;T704                          ;7060800;1;1
27.02.2015;11:00:00;T704                          ;7062003;1;1
27.02.2015;11:00:00;T704                          ;7062005;1;1
09.01.2015;11:00:00;T704                          ;7092884;1;1
09.01.2015;11:00:00;T704                          ;7092889;1;1
09.01.2015;11:00:00;T704                          ;7092891;1;0
09.01.2015;11:00:00;T704                          ;400622;1;0
09.01.2015;11:00:00;T704                          ;402366;1;1
09.01.2015;11:00:00;T704                          ;402411;2;2
09.01.2015;11:00:00;T704                          ;402475;1;1
09.01.2015;11:00:00;T704                          ;403234;1;1
09.01.2015;11:00:00;T704                          ;403282;1;1
09.01.2015;11:00:00;T704                          ;404522;1;1
09.01.2015;11:00:00;T704                          ;404955;1;1
09.01.2015;11:00:00;T704                          ;406663;1;1
09.01.2015;11:00:00;T704                          ;406684;1;1
09.01.2015;11:00:00;T704                          ;409110;1;1
09.01.2015;11:00:00;T704                          ;409111;2;0
